date,nfp,nfp1mdelta
"Jan
2001",132703,-13
"Feb
2001",132788,85
"Mar
2001",132751,-37
"Apr
2001",132457,-294
"May
2001",132409,-48
"Jun
2001",132299,-110
"Jul
2001",132171,-128
"Aug
2001",132021,-150
"Sep
2001",131763,-258
"Oct
2001",131452,-311
"Nov
2001",131144,-308
"Dec
2001",130983,-161
"Jan
2002",130859,-124
"Feb
2002",130736,-123
"Mar
2002",130722,-14
"Apr
2002",130615,-107
"May
2002",130632,17
"Jun
2002",130673,41
"Jul
2002",130583,-90
"Aug
2002",130582,-1
"Sep
2002",130503,-79
"Oct
2002",130617,114
"Nov
2002",130616,-1
"Dec
2002",130465,-151
"Jan
2003",130573,108
"Feb
2003",130441,-132
"Mar
2003",130235,-206
"Apr
2003",130172,-63
"May
2003",130196,24
"Jun
2003",130185,-11
"Jul
2003",130184,-1
"Aug
2003",130153,-31
"Sep
2003",130253,100
"Oct
2003",130440,187
"Nov
2003",130481,41
"Dec
2003",130589,108
"Jan
2004",130756,167
"Feb
2004",130820,64
"Mar
2004",131139,319
"Apr
2004",131412,273
"May
2004",131697,285
"Jun
2004",131794,97
"Jul
2004",131853,59
"Aug
2004",131940,87
"Sep
2004",132091,151
"Oct
2004",132431,340
"Nov
2004",132504,73
"Dec
2004",132629,125
"Jan
2005",132781,152
"Feb
2005",133033,252
"Mar
2005",133152,119
"Apr
2005",133519,367
"May
2005",133689,170
"Jun
2005",133947,258
"Jul
2005",134300,353
"Aug
2005",134503,203
"Sep
2005",134554,51
"Oct
2005",134643,89
"Nov
2005",134999,356
"Dec
2005",135158,159
"Jan
2006",135426,268
"Feb
2006",135731,305
"Mar
2006",136036,305
"Apr
2006",136208,172
"May
2006",136249,41
"Jun
2006",136335,86
"Jul
2006",136529,194
"Aug
2006",136693,164
"Sep
2006",136829,136
"Oct
2006",136846,17
"Nov
2006",137061,215
"Dec
2006",137249,188
"Jan
2007",137472,223
"Feb
2007",137558,86
"Mar
2007",137782,224
"Apr
2007",137845,63
"May
2007",137993,148
"Jun
2007",138069,76
"Jul
2007",138044,-25
"Aug
2007",138013,-31
"Sep
2007",138101,88
"Oct
2007",138177,76
"Nov
2007",138291,114
"Dec
2007",138395,104
"Jan
2008",138391,-4
"Feb
2008",138327,-64
"Mar
2008",138257,-70
"Apr
2008",138038,-219
"May
2008",137851,-187
"Jun
2008",137698,-153
"Jul
2008",137498,-200
"Aug
2008",137211,-287
"Sep
2008",136762,-449
"Oct
2008",136293,-469
"Nov
2008",135543,-750
"Dec
2008",134847,-696
"Jan
2009",134078,-769
"Feb
2009",133317,-761
"Mar
2009",132492,-825
"Apr
2009",131821,-671
"May
2009",131468,-353
"Jun
2009",131007,-461
"Jul
2009",130662,-345
"Aug
2009",130472,-190
"Sep
2009",130247,-225
"Oct
2009",130062,-185
"Nov
2009",130058,-4
"Dec
2009",129808,-250
"Jan
2010",129802,-6
"Feb
2010",129705,-97
"Mar
2010",129865,160
"Apr
2010",130120,255
"May
2010",130643,523
"Jun
2010",130509,-134
"Jul
2010",130415,-94
"Aug
2010",130416,1
"Sep
2010",130342,-74
"Oct
2010",130621,279
"Nov
2010",130749,128
"Dec
2010",130830,81
"Jan
2011",130837,7
"Feb
2011",131056,219
"Mar
2011",131282,226
"Apr
2011",131597,315
"May
2011",131704,107
"Jun
2011",131931,227
"Jul
2011",131993,62
"Aug
2011",132125,132
"Sep
2011",132344,219
"Oct
2011",132553,209
"Nov
2011",132690,137
"Dec
2011",132888,198
"Jan
2012",133245,357
"Feb
2012",133508,263
"Mar
2012",133748,240
"Apr
2012",133825,77
"May
2012",133933,108
"Jun
2012",134012,79
"Jul
2012",134157,145
"Aug
2012",134338,181
"Sep
2012",134517,179
"Oct
2012",134668,151
"Nov
2012",134825,157
"Dec
2012",135074,249
"Jan
2013",135257,183
"Feb
2013",135545,288
"Mar
2013",135689,144
"Apr
2013",135873,184
"May
2013",136095,222
"Jun
2013",136279,184
"Jul
2013",136391,112
"Aug
2013",136646,255
"Sep
2013",136821,175
"Oct
2013",137041,220
"Nov
2013",137316,275
"Dec
2013",137373,57
"Jan
2014",137561,188
"Feb
2014",137712,151
"Mar
2014",137985,273
"Apr
2014",138297,312
"May
2014",138512,215
"Jun
2014",138849,337
"Jul
2014",139073,224
"Aug
2014",139269,196
"Sep
2014",139563,294
"Oct
2014",139797,234
"Nov
2014",140090,293
"Dec
2014",140364,274
"Jan
2015",140568,204
"Feb
2015",140827,259
"Mar
2015",140923,96
"Apr
2015",141196,273
"May
2015",141538,342
"Jun
2015",141709,171
"Jul
2015",141991,282
"Aug
2015",142125,134
"Sep
2015",142275,150
"Oct
2015",142579,304
"Nov
2015",142808,229
"Dec
2015",143077,269
"Jan
2016",143210,133
"Feb
2016",143407,197
"Mar
2016",143662,255
"Apr
2016",143855,193
"May
2016",143900,45
"Jun
2016",144146,246
"Jul
2016",144520,374
"Aug
2016",144662,142
"Sep
2016",144967,305
"Oct
2016",145066,99
"Nov
2016",145183,117
"Dec
2016",145408,225
"Jan
2017",145628,220
"Feb
2017",145848,220
"Mar
2017",145969,121
"Apr
2017",146174,205
"May
2017",146380,206
"Jun
2017",146583,203
"Jul
2017",146772,189
"Aug
2017",146919,147
"Sep
2017",147007,88
"Oct
2017",147150,143
"Nov
2017",147373,223
"Dec
2017",147523,150
"Jan
2018",147660,137
"Feb
2018",148054,394
"Mar
2018",148280,226
"Apr
2018",148422,142
"May
2018",148740,318
"Jun
2018",148959,219
"Jul
2018",149020,61
"Aug
2018",149279,259
"Sep
2018",149358,79
"Oct
2018",149526,168
"Nov
2018",149617,91
"Dec
2018",149809,192
"Jan
2019",150059,250
"Feb
2019",150065,6
"Mar
2019",150295,230
"Apr
2019",150593,298
"May
2019",150621,28
"Jun
2019",150839,218
"Jul
2019",150936,97
"Aug
2019",151171,235
"Sep
2019",151365,194
"Oct
2019",151460,95
"Nov
2019",151668,208
"Dec
2019",151795,127
"Jan
2020",152031,236
"Feb
2020",152292,261
"Mar
2020",150895,-1397
"Apr
2020",130424,-20471
"May
2020",133040,2616
"Jun
2020",137671,4631
"Jul
2020",139255,1584
"Aug
2020",140819,1564
"Sep
2020",141770,951
"Oct
2020",142461,691
"Nov
2020",142731,270
"Dec
2020",142548,-183
"Jan
2021",142913,365
"Feb
2021",143422,509
"Mar
2021",144246,824
"Apr
2021",144611,365
"May
2021",145032,421
"Jun
2021",145828,796
"Jul
2021",146759,931
"Aug
2021",147246,487
"Sep
2021",147712,466
"Oct
2021",148569,857
"Nov
2021",149206,637
"Dec
2021",149781,575
"Jan
2022",150006,225
"Feb
2022",150875,869
"Mar
2022",151346,471
"Apr
2022",151651,305
"May
2022",151892,241
"Jun
2022",152353,461
"Jul
2022",153049,696
"Aug
2022",153286,237
"Sep
2022",153513,227
"Oct
2022",153913,400
"Nov
2022",154210,297
"Dec
2022",154336,126
"Jan
2023",154780,444
"Feb
2023",155086,306
"Mar
2023",155171,85
"Apr
2023",155387,216
"May
2023",155614,227
"Jun
2023",155871,257
"Jul
2023",156019,148
"Aug
2023",156176,157
"Sep
2023",156334,158
"Oct
2023",156520,186
"Nov
2023",156661,141
"Dec
2023",156930,269
"Jan
2024",157049,119
"Feb
2024",157271,222
"Mar
2024",157517,246
"Apr
2024",157635,118
"May
2024",157828,193
"Jun
2024",157915,87
"Jul
2024",158003,88
"Aug
2024",158074,71
"Sep
2024",158314,240
"Oct
2024",158358,44
"Nov
2024",158619,261
"Dec
2024",158942,323
"Jan
2025",159067,125
"Feb
2025",159218,151
